ray_id,x,y,z
17,-0.788063,0.999,-0.406376
18,0.0844531,-0.999,-0.874086
19,0.494752,0.814519,-0.999
20,0.999,-0.540027,0.574661
21,-0.999,0.283355,-0.879841
22,0.996064,0.861157,0.999
23,0.999,0.331876,-0.153929
24,-0.738467,0.999,-0.49865
25,-0.999,0.217312,0.330357
26,0.0940629,0.999,-0.370926
27,-0.655201,-0.999,-0.689432
28,-0.639302,0.999,0.267724
29,0.999,-0.640015,-0.175191
30,0.840111,-0.999,-0.354992
31,0.576626,-0.348643,0.999
32,0.415967,-0.999,-0.902288
33,0.213677,-0.721563,-0.999
34,-0.921685,-0.730703,0.999
35,-0.452281,0.958131,-0.999
36,0.224433,0.999,-0.744974
37,-0.085732,-0.707213,-0.999
38,-0.60963,0.465465,-0.999
39,-0.685124,-0.360281,0.999
40,-0.198594,-0.999,-0.436909
41,0.999,0.201266,-0.320161
42,-0.847022,-0.0304505,-0.999
43,-0.999,-0.608805,0.735002
44,-0.724317,-0.999,0.166859
45,-0.220602,-0.999,-0.954263
46,0.189913,0.999,0.873376
47,-0.999,0.0234802,0.0290931
48,-0.909382,-0.0977841,-0.999
49,0.999,-0.69271,-0.775683
50,0.999,-0.33049,-0.320446
51,-0.218254,-0.177731,-0.999
52,-0.999,-0.449847,0.661721
53,-0.999,0.343666,0.790159
54,-0.287507,-0.870637,0.999
55,-0.918626,0.999,0.99669
56,-0.999,0.685494,-0.781799
57,-0.473103,0.660065,-0.999
58,0.985446,0.999,0.117747
59,0.808183,0.999,-0.0974588
60,0.0252604,-0.999,-0.261273
61,-0.999,0.446314,-0.660242
62,0.211824,0.999,0.562143
63,0.999,-0.518989,-0.89907
0,0.00240254,0.999,-0.0204403
1,0.59427,0.999,-0.0357316
2,-0.976182,0.444866,0.999
3,-0.999,-0.537972,0.842601
4,0.999,-0.385668,0.0704712
5,-0.701974,0.204494,-0.999
6,-0.553229,-0.847833,0.999
7,0.716758,0.0567068,-0.999
8,-0.999,-0.0510288,0.271408
9,-0.252062,-0.999,-0.118062
10,-0.999,0.667231,-0.543425
11,0.999,-0.5328,-0.562524
12,0.12727,-0.999,0.688604
13,0.969737,0.999,-0.667165
14,-0.814394,-0.999,-0.580133
15,0.999,-0.989321,0.926888
16,-0.999,-0.881575,-0.346323
17,-0.999,-0.141114,-0.285268
18,0.0860007,-0.760882,-0.999
19,-0.999,0.893082,-0.709738
20,0.534097,0.339454,0.999
21,0.444008,-0.0704667,0.999
22,0.999,0.862181,0.996494
23,-0.697589,0.999,0.439232
24,0.999,-0.677059,0.339583
25,0.164633,0.0287504,0.999
26,0.103355,-0.284651,-0.999
